Skew,Kurtosis,b,c,d,_RHS_
0.1,15.8,0.417348,0.007451,0.165557,1.80E-18
0.1,15.9,0.415361,0.007438,0.166043,7.90E-21
0.1,16,0.41338,0.007424,0.166527,1.00E-20
0.1,16.1,0.411406,0.007411,0.167009,1.29E-20
0.1,16.2,0.409439,0.007398,0.167489,1.67E-20
0.1,16.3,0.407477,0.007384,0.167967,2.18E-20
0.1,16.4,0.405522,0.007371,0.168443,2.83E-20
0.1,16.5,-0.40357,0.007358,-0.16892,1.24E-17
0.1,16.6,1.579269,0.015006,-0.32715,2.05E-19
0.1,16.7,1.579186,0.014963,-0.32744,6.63E-19
0.1,16.8,-0.39776,0.00732,-0.17033,1.04E-21
0.1,16.9,-1.57901,0.014878,0.328034,2.58E-29
0.1,17,-1.57892,0.014836,0.328327,1.69E-18
0.1,17.1,-1.57883,0.014794,0.328619,5.39E-19
0.1,17.2,-1.57874,0.014753,0.328909,4.16E-27
0.1,17.3,-1.57864,0.014712,0.329197,2.77E-25
0.1,17.4,-1.57855,0.014671,0.329484,5.27E-20
0.1,17.5,0.384408,0.007234,0.173556,5.26E-21
0.1,17.6,0.382523,0.007222,0.17401,3.16E-20
0.1,17.7,0.380644,0.00721,0.174463,4.63E-17
0.1,17.8,0.378769,0.007198,0.174913,4.50E-29
0.1,17.9,0.376901,0.007187,0.175362,2.44E-15
0.1,18,0.375037,0.007175,0.175809,1.55E-19
0.1,18.1,0.373179,0.007164,0.176255,2.35E-19
0.1,18.2,0.371326,0.007152,0.176699,3.54E-19
0.1,18.3,0.369478,0.007141,0.177141,5.26E-19
0.1,18.4,0.367635,0.007129,0.177582,7.75E-19
0.1,18.5,0.365797,0.007118,0.178021,1.67E-25
0.1,18.6,0.363965,0.007107,0.178459,1.71E-25
0.1,18.7,0.362137,0.007096,0.178895,1.28E-25
0.1,18.8,0.360314,0.007085,0.179329,6.04E-26
0.1,18.9,0.358496,0.007074,0.179762,1.66E-26
0.1,19,0.356683,0.007063,0.180193,2.16E-27
0.1,19.1,0.354875,0.007052,0.180623,2.01E-24
0.1,19.2,0.353071,0.007042,0.181052,6.79E-15
0.1,19.3,0.351273,0.007031,0.181479,3.91E-19
0.1,19.4,0.349479,0.00702,0.181904,3.23E-28
0.1,19.5,-1.57608,0.013876,0.335224,1.35E-16
0.1,19.6,-1.57594,0.013841,0.335484,1.44E-19
0.1,19.7,-1.5758,0.013806,0.335743,1.09E-17
0.1,19.8,-1.57567,0.013772,0.336001,5.34E-18
0.1,19.9,-1.57552,0.013737,0.336258,6.87E-19
0.1,20,-1.57538,0.013703,0.336514,1.43E-16
0.2,-1.1,1.33226,0.071052,-0.12863,2.91E-05
0.2,-1,1.245852,0.059043,-0.09165,1.24E-16
0.2,-0.9,1.19886,0.052554,-0.07253,9.54E-20
0.2,-0.8,1.162736,0.04809,-0.05846,1.52E-17
0.2,-0.7,1.133086,0.044785,-0.04728,8.79E-14
0.2,-0.6,-1.10794,0.042225,0.038025,8.47E-19
0.2,-0.5,-1.08609,0.040173,0.030146,1.54E-23
0.2,-0.4,1.066754,0.038481,-0.02329,3.39E-19
0.2,-0.3,1.049388,0.037055,-0.01722,2.53E-24
0.2,-0.2,1.033597,0.03583,-0.01177,1.88E-26
0.2,-0.1,1.019097,0.034761,-0.00682,4.74E-14
0.2,0,1.00567,0.033818,-0.00228,8.77E-22
0.2,0.1,0.993151,0.032977,0.001917,1.55E-16
